feature,bin_index,bin,count,bads,bad_rate,population_share,woe,iv,points
EXT_SOURCE_3,0,"(-inf, 0.1538]",8573,1974,0.23025778607255337,0.03982681167162973,1.21822441023747,0.3267071677256845,17.2
EXT_SOURCE_3,1,"(0.1538, 0.2289]",8632,1471,0.1704124189063948,0.040100902641958217,0.8424659295333827,0.3267071677256845,26.2
EXT_SOURCE_3,2,"(0.2289, 0.2837]",8523,1147,0.13457702686847353,0.039594531188300496,0.5641894886568537,0.3267071677256845,32.9
EXT_SOURCE_3,3,"(0.2837, 0.3313]",8690,1067,0.12278481012658228,0.04037034800262013,0.458986981370593,0.3267071677256845,35.4
EXT_SOURCE_3,4,"(0.3313, 0.3706]",8437,824,0.0976650468175892,0.03919500875697422,0.20200197279864157,0.3267071677256845,41.6
EXT_SOURCE_3,5,"(0.3706, 0.4084]",8686,820,0.09440478931614092,0.040351765563953784,0.16444849192944264,0.3267071677256845,42.5
EXT_SOURCE_3,6,"(0.4084, 0.4418]",8316,696,0.0836940836940837,0.03863288998731749,0.032373626973731154,0.3267071677256845,45.6
EXT_SOURCE_3,7,"(0.4418, 0.4758]",9122,722,0.07914930936198201,0.04237725137858467,-0.028425989803094767,0.3267071677256845,47.1
EXT_SOURCE_3,8,"(0.4758, 0.5065]",8188,541,0.0660723009281876,0.038038251949994654,-0.22288791250423828,0.3267071677256845,51.8
EXT_SOURCE_3,9,"(0.5065, 0.5353]",8767,509,0.0580586289494696,0.040728059946947136,-0.3606653022185904,0.3267071677256845,55.1
EXT_SOURCE_3,10,"(0.5353, 0.5621]",8463,485,0.05730828311473473,0.03931579460830542,-0.3744233180393273,0.3267071677256845,55.4
EXT_SOURCE_3,11,"(0.5621, 0.6178]",17698,900,0.050853203751836364,0.08221799987921415,-0.5011916139950722,0.3267071677256845,58.5
EXT_SOURCE_3,12,"(0.6178, 0.6414]",8251,410,0.049690946551933096,0.038330925358989486,-0.5249063956022213,0.3267071677256845,59.0
EXT_SOURCE_3,13,"(0.6414, 0.6675]",8761,402,0.04588517292546513,0.04070018628894763,-0.6085557017393076,0.3267071677256845,61.0
EXT_SOURCE_3,14,"(0.6675, 0.6941]",8839,384,0.04344382848738545,0.04106254384294123,-0.6657255101642657,0.3267071677256845,62.4
EXT_SOURCE_3,15,"(0.6941, 0.7195]",8404,313,0.037244169443122324,0.03904170363797693,-0.8258669498041897,0.3267071677256845,66.3
EXT_SOURCE_3,16,"(0.7195, 0.7863]",17250,590,0.034202898550724635,0.08013676674858425,-0.9149231945580923,0.3267071677256845,68.4
EXT_SOURCE_3,17,"(0.7863, inf]",8902,272,0.030554931476072793,0.041355217251936055,-1.0305160086436702,0.3267071677256845,71.2
EXT_SOURCE_3,18,missing,42755,3964,0.0927143024207695,0.19862304129482433,0.1440816903456242,0.3267071677256845,43.0
EXT_SOURCE_2,0,"(-inf, 0.1324]",10740,2409,0.22430167597765363,0.04989384781911854,1.1842528000931565,0.31582526532224453,20.4
EXT_SOURCE_2,1,"(0.1324, 0.2144]",10739,1576,0.1467548188844399,0.049889202209451956,0.6648560532186312,0.31582526532224453,31.8
EXT_SOURCE_2,2,"(0.2144, 0.2782]",10739,1341,0.12487196200763571,0.049889202209451956,0.4781153438004757,0.31582526532224453,35.9
EXT_SOURCE_2,3,"(0.2782, 0.3386]",10739,1224,0.11397709283918428,0.049889202209451956,0.37448760442658746,0.31582526532224453,38.2
EXT_SOURCE_2,4,"(0.3386, 0.3913]",10739,1160,0.10801750628550144,0.049889202209451956,0.3141026031698916,0.31582526532224453,39.5
EXT_SOURCE_2,5,"(0.3913, 0.4393]",10739,1004,0.09349101406089952,0.049889202209451956,0.15358796169076033,0.31582526532224453,43.0
EXT_SOURCE_2,6,"(0.4393, 0.478]",10738,946,0.08809834233563048,0.04988455659978537,0.08827596010083802,0.31582526532224453,44.5
EXT_SOURCE_2,7,"(0.478, 0.5113]",10739,833,0.0775677437377782,0.049889202209451956,-0.05043562915201783,0.31582526532224453,47.5
